player_id,player_name,pass_success,pass_cross_accurate,pass_long_ball_accurate,pass_through_ball_accurate,minutes_played,matches_played,PVS,rating,cross_accuracy,pass_success_accuracy,long_ball_accuracy,through_ball_accuracy,Cluster
135714,Marcus Harness,1925.1000000000001,23.0,1925.1000000000001,24.0,1359,28,243.4517857142857,6.331428571428572,23.0,68.75357142857143,68.75357142857143,24.0,1
353292,Trevoh Chalobah,1309.5,14.0,1309.5,32.0,1334,16,296.6625,6.826875,14.0,81.84375,81.84375,32.0,2
321020,Sander Berge,1625.0,2.0,1625.0,20.0,1319,18,306.3861111111111,6.713333333333334,2.0,90.27777777777777,90.27777777777777,20.0,0
327683,Wilfred Ndidi,1294.5,14.0,1294.5,29.0,1308,16,292.40625,6.87625,14.0,80.90625,80.90625,29.0,2
243254,Andreas Pereira,1597.1,26.0,1597.1,10.0,1293,22,258.3840909090909,6.514545454545455,26.0,72.59545454545454,72.59545454545454,10.0,1
460260,Kobbie Mainoo,1528.2,10.0,1528.2,16.0,1291,18,289.3777777777778,6.544444444444444,10.0,84.9,84.9,16.0,0
403859,Pape Sarr,2121.7,22.0,2121.7,20.0,1285,25,289.25,6.5684000000000005,22.0,84.868,84.868,20.0,0
470690,Yasin Ayari,1729.7,17.0,1729.7,7.0,1278,21,284.1714285714285,6.591428571428571,17.0,82.36666666666667,82.36666666666667,7.0,0
67491,Jordan Ayew,1780.8,27.0,1780.8,34.0,1268,23,270.4086956521739,6.469130434782608,27.0,77.42608695652174,77.42608695652174,34.0,1
145996,Kenny Tete,1240.0,18.0,1240.0,15.0,1266,15,294.65,6.862,18.0,82.66666666666667,82.66666666666667,15.0,2
87182,Jannik Vestergaard,1448.4,2.0,1448.4,26.0,1264,16,306.71875,6.40625,2.0,90.525,90.525,26.0,0
